Site/City,Region,Total Duration,Peak Duration,Start Occupation,End Occupation,Start Peak,End Peak,Source,Notes,
Kumasi,Africa,367,367,,,1633,2000,,,
Kilwa,Africa,700,700,,,800,1500,,,
Great Zimbabwe,Africa,800,800,,,900,1700,,,
Jenne Jeno,Africa,1650,1650,,,-250,1400,,,
"Timbuktu, 1st occ",Africa,2450,2450,,,-450,2000,,,
Chan Chan,Andes,600,570,900,1500,900,1470,Valladares 2018,"The Inka conquered the site about 1470. There was some continued occupation after this date, but full abandonment prior to the Spanish arrival in the 1530s. ",
Cuzco,Andes,820,720,1200,2020,1300,2020,Covey 2002,,
Chavin de Huantar,Andes,900,1700,-1300,-400,-1200,500,Kemble and Haas 2013 (in agreement with Rick et al 2009),"Burger 2019 argues for a later, 950 BC start to the peak",
Tiwanaku,Andes,2220,1050,-200,2020,100,1150,Marsh 2016,,
Anyang,China,554,554,,,-1600,-1046,,,
Nanjing,China,1779,1779,,,221,2000,,,
Luoyang,China,1793,1793,,,-1038,755,,,
Beijing,China,3046,3046,,,-1046,2000,,,
Xi'an,China ,1950,1950,,,-1046,904,,,
Caracol,Maya,1500,1500,,,-600,900,,,
Tikal,Maya,1850,1850,,,-950,900,,,
Copan,Maya,1900,1900,,,-1000,900,,,
Tayasal,Maya,2600,2600,,,-750,1850,,,
Santa Rita,Maya,2730,2730,,,-1200,1530,,,
Carthage,Mediterranean,2084,136,-814,1270,-400,-264,,"Church, A.J. (1998) The Story of Carthage. (Rev. ed.) New York: Biblio and Tannen.","Phoenician city and major centre of trade by 4th c BC, which rose in importance after the destruction of Tyre by Alexander the Great. It prospered until it came into conflict with Rome beginning in 264 BC with the 3 Punic Wars. In 129 BC Romans burned the city to the ground at the end of the 3rd Punic war. Was in ruin until a small Roman colony was subseqently establisehd in 121 BC. It existed as a significant Roman colongy until 439 when it fell to the Vandals. It rose again with the rise of Christianity 354-430 CE. Was destroyed in 698 by Muslims at which point trade transfered to nearby Tunis"
Byzantium,Mediterranean,2670,2103,-650,2020,-650,1453,Hanson database (start date),,284-337 CE new foundation as Constntonopile on site of Byzantium. The city subsequently fell in 1453 with the end of the Byzantine Empire. 
Rome,Mediterranean,4320,1100,-2300,2020,-700,400,Roman dataset,,
Athens,Mediterranean,5020,127,-3000,2020,-560,-433,Boatwright 2000,,"agora evidence of neolithic graves and wells. Earliest buildings date to the LBA, c. 1200 BC. 6th c. BC was period of growth under the Peisistratids. Athens height was during the classical period (480-430), before the Peleoponesian War. "
Ebla,Near East,1400,700,-3000,-1600,-3000,-2300,Astour 1992; 2002; Final destruction - Matthiae 2006: p. 85 ,"Matthiae, P. and Marchetti, N. (2016). Ebla and its Landscape: Early State Formation in the Ancient Near East.  NY: Routledge. Matthiae, P. (2006) 'The Archaic Palace at Ebla: A Royal Building between Early Broze Age IVB and Middle Bronze Age I. In S. Gitin, J.E. Wright, J.P. Dessel (eds). Confronting the Past: Archaeological and Historical Essays on Ancient Israel. Winona Lake: Eisenbrrauns; Astour, Michael C. (1992). ""An outline of the history of Ebla (part 1)"". In Gordon, Cyrus Herzl; Rendsburg, Gary (eds.). Eblaitica: Essays on the Ebla Archives and Eblaite Language. 3. Eisenbrauns. Astour, Michael C. (2002). ""A Reconstruction of the History of Ebla (Part 2)"". In Gordon, Cyrus Herzl; Rendsburg, Gary (eds.). Eblaitica: Essays on the Ebla Archives and Eblaite Language. 4. Eisenbrauns.","During the first Kingdom (3000-2300 BC) Ebla was at its peak, and known best for the archives of Ebla tablets. By 2300 BC some type of destruction occurred to parts of the site. The city was rebuilt during the second kingdom (2300-2000 BC) until it was destroyed again. The thrid kingdom saw the city rise again between 2000-1600 BC, when it was then detworyed by the Hittities. After this it then reverted to a small village (1600-1200 BC). Various small occupations continued to exist until the 7th c. CE when the site was completely abandoned "
Alexandria,Near East,1654,283,-331,1323,-331,-48,Cline 2006: 6-7; McKenzie 2006,"Cline, E. (2006). The Ancient World: Civilization of Africa. Armonk, NY: Sharpe Reference ; McKenzie, J. (2006). The Architecture of Alexandria and Egypt, c. 300 B.C. to A.D. 700: In Memoriam P.R.S. Moorey. New Haven, CT: Yale University Press.","Founded by Alexander the Great. City was built up under Ptolemaic Dynasty (332-30 BC). Its importance as a trading centre rose after Alexander's destruction of Tyre. Politics of Caesar and Antony during Roman period caused tension for the city, this is the same period the Library of Alexandria was burned. The city then became a Roman province. Declined in 115 CE, and then restored by Hadrian (c. 132 CE). By 400 CE lots of religious problems, and the city declined after this point. Conqured by Persians in 619 CE, reclaimed in Byzantine Empire in 628 CE, lost to Arabs in 641 CE, Egypt came under Islamic control by 646 CE. By 1323 city no longer resembeled original Ptolemaic one. "
Uruk ,Near East,4130,1600,-3500,630,-4500,-2900,,"McHahon, A. (2013) ""Mesopotamia"" in P. Clark (ed) The Oxford Handbook of Citeis in World History. Oxford: Oxford University Press.","Known best for the story of Giglamesh. The city was most influential during the Uruk period (4100-3000 BC),the point at whichit was its largest urban center. It maintained promenence within the region until it went into decline after the fallofUr in 1750 BC. The city was compeltley abandoned by 630 B Eduring the Muslim conquest."
Megiddo,Near East,4668,2021,-5000,-332,-3500,-1479,Cline 2002,"Cline, E. (2002). The Battles of Armageddon. University of Michigan Press","Height of power lasted 3500 - 1479 when the city fell under Egptian rule. Tel habbitation ceased by the time Alexander the great passes by, habitation subseqeuntly moves into surrounding Jezreel Valley. Evidence of nearby Roman fort."
Byblos,Near East,7098,480,-6000,1098,-1580,-1100,Francis-Allouche and Grimal 2016: 243. ,"Francis-Allouche, M and Grimal, N. (2016). 'Maritime Approaches to Ancient Byblos (Lebanon)'. Journal of Eastern Mediterranean Archaeology & Heritage Studies 4(2-3): 242-277. ",Orgins as small fishing village. Was in decline 1100-725 BC as Tyre grew in importance. During Hellenistic-Roman Period (330 BC - 395 CE) rose in importance again. Fell into decline again after the Arab conquest (637 CE) at which point it came under Arab control. Fell into disrepair and was easily invaded by  Crusaders in 1098 CE.
Bagan,SE/South Asia,350,350,,,1050,1400,,,
Vijayanagara,SE/South Asia,510,510,,,1340,1850,,,
Angkor,SE/South Asia,531,531,,,900,1431,,,
Oc Eo,SE/South Asia,550,550,,,100,650,,,
Ayutthaya,SE/South Asia,710,710,,,1290,2000,,,
Sand Canyon Pueblo,SW/NW,35,30,1245,1280,1250,1280,Kuckelman 2007,Very well dated extensively excavated site with a very short occupation typical of late canyon head villages in the Mesa Verde region.,
Scribe S,SW/NW,60,45,1225,1285,1240,1285,"Schachner 2007, 2011","This is a well-dated site with hundreds of tree ring dates supporting this very short occupation as is true of other sites in the El Morro Valley, despite having more than 400 rooms",
Hawwiku,SW/NW,305,150,1375,1680,1400,1550,Kintigh 1985; Woodbury and Woodbury 1966,There is an earlier occupation underneath this settlement but the available evidence suggest there was a hiatus of 200 years or more between that early structure and the well documented later structure. The settlement was depopulated during the Pueblo Revolt in 1680 as the inhabitants joined the residents of the other 6 Zuni villages on Dowa Yallane and eventually the contemporary Zuni Pueblo.,
Walatowa,SW/NW,324,120,1696,2020,1900,2020,Liebmann 2016; Palkovich 1985 ,Pueblo settled after the Pueblo revolt. Population highest in the 20th century to present. Still has never reached population of earlier pre-contact Jemez villages,
Pueblo Bonito,SW/NW,400,60,825,1225,1040,1100,Crown and Wills 2018; Windes 1993,This is the date of the main Pueblo structure at Pueblo Bonito. There are some earlier Basketmaker III remains in the area but it is unclear how they relate to the main structure and there may be an early Pueblo I period discontinuity. Dates based on a combination of tree-ring dates and ceramic materials as interpreted by Crown and Wills along with ceramic dates interpreted by me based on CyberSW data.,
Honey Bee Village,SW/NW,600,500,600,1200,650,1150,Wallace 2012,Probably the most thoroughly excavated Hohokam village in modern times. Though it is a small village it has a very well understood trajectory. Really interesting in that the initial village was established quite small with only about 7-11 households but in that initial stage they already set up the plaza and other public spaces. There is amaizgn continuity in household location and structure from 600 to 1150.,
Orayvi,SW/NW,870,350,1150,2020,1350,1700,Bernardini et al. in press; Hargrave 1937; Whiteley 1992,Site has evidence of continuous occupation from the mid 12th century and some structures in buildings in use in the 20th century have dated beams from the 14th century,
Pueblo Grande,SW/NW,1000,150,450,1450,1200,1350,Mitchell 1994; Abbott et al. 1994,Most of the evidence of occupation is from 900-1450 but there is continuity in the use of plazas and cemetaries going all the way back to the Estrella phase. It was probably a small village until around 900.,
Cuexcomate,Western Mesoamerica,200,200,1350,1550,1350,1550,Smith and Doershuk 1991,,
Calixtlahuaca,Western Mesoamerica,400,400,1130,1530,1130,1530,Huster and Smith 2015,,
Tenochtitlan/Mexico City,Western Mesoamerica,695,650,1325,2020,1370,2020,Smith 2003,"Stage II of the Templo Mayor is associated with Acamapichtli (ruled 1372-1391), so presuambly the site was functioning as an altepetl capital (albeit a minor one) with the construction of Stage I of the temple, sometime prior to this date. ",
San Lorenzo,Western Mesoamerica,1000,500,-1800,-800,-1500,-1000,Hirth et al 2013,,
Xochicalco,Western Mesoamerica,1400,250,-500,900,650,900,Hirth 2000,The total occupation dates assume that Tlacotzingo should be considered part of Xochicalco. The abandoment dates do not include the (light) Postclassic reoccupation,
Teotihuacan,Western Mesoamerica,1400,550,-500,900,100,650,Cowgill 2015,,
Monte Alban,Western Mesoamerica,1500,1300,-500,1000,-500,800,"Sherman et al 2010, Feinman and Nichols 2016",,